1,Air Force
2,Akron
3,Alabama
4,Arizona
5,Arizona State
6,Arkansas
7,Arkansas State
8,Army
9,Auburn
10,Ball State
11,Baylor
12,Boise State
13,Boston College
14,Bowling Green
15,Buffalo
16,BYU
17,Cal
18,UCF
19,Central Michigan
20,Cincinnati
21,Clemson
22,Colorado
23,Colorado State
24,Duke
25,ECU
26,Eastern Michigan
27,Florida
28,Florida State
29,Fresno State
30,Georgia
31,Georgia Tech
32,Hawaii
33,Houston
34,Idaho
35,Illinois
36,Indiana
37,Iowa
38,Iowa State
39,Kansas
40,Kansas State
41,Kent State
42,Kentucky
43,Louisiana Tech
44,Louisville
45,LSU
46,Marshall
47,Maryland
48,Memphis
49,Miami
50,Miami University
51,Michigan
52,Michigan State
53,Mid Tenn State
54,Minnesota
55,Mississippi State
56,Missouri
57,Navy
58,Nebraska
59,Nevada
60,New Mexico
61,New Mexico State
62,North Carolina
63,NC State
64,North Texas
65,UL Monroe
66,Northern Illinois
67,Northwestern
68,Notre Dame
69,Ohio
70,Ohio State
71,Oklahoma
72,Oklahoma State
73,Ole Miss
74,Oregon
75,Oregon State
76,Penn State
77,Pittsburgh
78,Purdue
79,Rice
80,Rutgers
81,San Diego State
82,San Jose State
83,SMU
84,South Carolina
85,Southern Miss
86,UL Lafayette
87,Stanford
88,Syracuse
89,TCU
90,Temple
91,Tennessee
92,Texas
93,Texas A&M
94,Texas Tech
95,Toledo
96,Tulane
97,Tulsa
98,UAB
99,UCLA
100,Connecticut
101,UNLV
102,USC
103,Utah
104,Utah State
105,UTEP
106,Vanderbilt
107,Virginia
108,Virginia Tech
109,Wake Forest
110,Washington
111,Washington State
112,West Virginia
113,Western Michigan
114,Wisconsin
115,Wyoming
116,Alabama A&M
117,Alabama State
118,Alcorn State
119,Ark - Pine Bluff
120,Bethune-Cookman
121,Brown
122,Columbia
123,Cornell
124,Dartmouth
125,Delaware State
126,Florida A&M
127,Grambling State
128,Hampton
129,Harvard
130,Howard
131,Jackson State
132,Miss Valley State
133,Morgan State
134,Norfolk State
135,NC A&T State
136,Penn
137,Prairie View A&M
138,Princeton
139,S Carolina State
140,Southern
141,Texas Southern
142,Yale
143,Troy
144,USF
160,South Alabama
161,Liberty
162,Georgia State
163,UTSA
164,Old Dominion
177,Delaware
178,Coastal Carolina
179,James Madison
180,Maine
181,UMass
182,New Hampshire
183,Charlotte
184,Rhode Island
185,Richmond
186,Villanova
187,William and Mary
188,Appalachian State
189,The Citadel
191,Elon
192,Furman
193,Georgia Southern
194,Chattanooga
195,Western Carolina
196,Wofford
197,E Washington
198,Idaho State
199,Montana
200,Montana State
201,Northern Arizona
202,Portland State
203,Sacramento State
204,Weber State
205,Illinois State
206,Indiana State
207,UNI
208,Southern Illinois
209,SMS
210,Western Illinois
211,Western Kentucky
212,Youngstown State
213,McNeese State
214,Northwestern St
215,Nicholls State
216,Stephen F. Austin
217,Sam Houston St
218,Texas State
219,Eastern Illinois
220,Murray State
221,Eastern Kentucky
222,SE Missouri St
223,Jacksonville State
224,Tennessee Tech
225,Tennessee State
226,Samford
227,Tennessee-Martin
228,Towson
229,Florida Atlantic
230,FIU
231,Southeastern
249,Kennesaw State
